"Topic","Description","Count","Theme"
"Coisas para as quais eu não tenho paciência","Quais são aquelas coisas para as quais não tens paciência?  
O que te tira do sério?",0.0,"General"
"Coisas que ainda não sabem sobre mim/Coisas estranhas sobre mim","O teu segredo mais obscuro, ou simplesmente algo curioso. 
Tipo tenho um olho de cada cor, ou tenho um sinal que parece um amendoim, qualquer coisa que seja tua e única.",0.0,"General"
"Coisas que gosto, mas mais ninguém gosta","Qual o teu ""guilty pleasure""?  
Gostas de camarões com chocolate?",0.0,"General"
"Coisas que toda a gente gosta menos eu","Os mais comuns são chocolate e camarão, mas de certeza que há muitos.",0.0,"General"
"Coisas que eu podia comer todos os dias","Eu era queijo, sou adepto daquela frase qualquer coisa com queijo fica melhor e vocês?",0.0,"General"
"Histórias caricatas que já me aconteceram","Já viste um fantasma?  
Foste atingido por um relâmpago?",0.0,"General"
"Coisas que a minha mãe/ pai faziam e agora faço igual","Sabes aquela coisa que a tua mãe fazia que te tirava do sério quando eras adolescente, e agora fazes.  
Este é o momento ideal para falares sobre isso.",0.0,"General"
"Coisas que faço todos os dias","Gostas de começar o dia com torradas e café?  
Vais correr todos os dias ao fim do dia?",0.0,"General"
"Coisas que me inspiram","Qual é a aquela coisa que faz o céu mais azul, a relva mais verde, ...",0.0,"General"
"Os meus defeitos / qualidades","O que é que sou bom ou aquilo que quero mudar em mim?",0.0,"General"
"Coisas que tenho sempre em casa","Qual é a aquela coisa sem a qual eu não passo. A minha é queijo, mas pode ser qualquer coisa.  
Outra coisa que há sempre cá em casa é papel higiénico. :D",0.0,"General"
"Coisas que já fiz em XX anos de vida","O que é que acho que fiz de valor com a minha vida. Já escreveste um livro, plantas-te um árvore, ...",0.0,"General"
"Como era o mundo no século passado","Para quem não viveu no século passado, pode sempre imaginar.  
Para os outros podem falar da roupa preta e cizenta do 90s ou do grunge e das camisolas de flanela.",0.0,"General"
"Desenhos animados da minha infância","Quais os vossos desenhos animados prefereridos e porquẽ?",0.0,"General"
"Lembrança de férias de infância","Onde iam passar as férias na infância? Eram férias de verão ou de inverno?",0.0,"General"
"O queriam ser quando crescessem","Qual a vossa profissão de sonho quando eram crianças?",0.0,"General"
"Partes preferidas de minha casa","Onde passam mais tempo na vossa casa?",0.0,"General"
"Objetos de decoração preferidos","O que gostam para decorar as vossas casas, a vossa secretária?",0.0,"General"
"Sítios onde onde me sinto em casa","Aquele sitio onde te sentes em casa, mas não é a tua casa. A praia, a montanha, a casa dos teus pais, ...",0.0,"General"
"Os melhores restaurantes onde já fui","Onde gostas mesmo de comer? E o que gostas de comer.",0.0,"General"
"Livros que nunca li (mas devia)","Aqueles livros que toda a gente fala.",0.0,"General"
"Livros que não gostei","Aqueles livros que toda a gente fala, mas não gostaste ou outro livro qualquer.",0.0,"General"
"As melhores frases dos livros","Começa com uma frase inspiradora de um livro e fala sobre o que significa para ti.",0.0,"General"
"Livros que toda a gente devia ler","Qual o livro que mudou algo em ti, e porque o recomendarias.",0.0,"General"
"Livros que deram filmes (ou que deviam dar)","Já leste o Senhor do Anéis, ou o Chocolate, o que achas das adaptações?  
Leste um livro que achas que dava um bom filme.",0.0,"General"
"Personagens favoritos de livros/séries/filmes","Qual foi aquela personagem que te marcou.",0.0,"General"
"As melhores séries que vi","Qual a tua série que te marcou? És fã do Friends, da Anatomia de Grey, ...",0.0,"General"
"Séries da minha adolescência","O que vias na tua adolescência. Eu foi Ficheiros Secretos, vi aquilo tudo de uma ponta à outra.",0.0,"General"
"Séries de médicos / advogados / polícias/ etc","O que preferes, CSI, Anatomia de Grey, Bull???",0.0,"General"
"Filmes que nunca vi","Já viste o Senhor das Moscas? Ou o 2001: Uma odisseia no espaço?  
Fala sobre um daqueles filmes de culto que nunca vistes.",0.0,"General"
"Filmes de humor","Qual a tua comédia favorita.",0.0,"General"
"Filmes para chorar","Qual é aquele filme que te deixa sempre com um lágrima no canto do olho.",0.0,"General"
"Cidades que já visitei","Uma cidade que já visitei e gostei, o não gostei.",0.0,"General"
"Cidades que quero visitar","Uma cidade onde nunca fui, mas gostava.",0.0,"General"
"Histórias engraçadas das minhas viagens","Uma coisa engraçada que me aconteceu numa viagem.",0.0,"General"
"Comidas do mundo","Comida que não é do teu pais, mas adoras. Não vale ser sobre o Pastel de Nata :P",0.0,"General"
"Como faço a mala de viagem","O que é que tens de levar sempre que vais de viagem?  
O que é que te esqueces sempre?",0.0,"General"
"Que tipo de viajante sou","Quando vais de viagem, planeias tudo em casa? Não planeias nada? Pensas pelo menos onde queres ir? ",0.0,"General"
"Como passar o tempo no avião","O que fazes para aguentar aquelas horas num tubo metálico que voa?",0.0,"General"
